Prepare: check process on cuda: 2...
Start: create dataset: [alpha: 0.75], [beta: 25.0]
              Effect: [ate-q], [train: 0.17247], [test: 0.17493]
********************************************************************************
Finish: epoch: 465 / 500, time cost: 37.84 sec, 
              Loss: [Train: p = 1.00653, q = 1.11086], 
              Loss: [Test: p = 1.02372, q = 1.27187],
              Effect: [ate-q], [train: 0.18568], [test: 0.18817]
********************************************************************************
Finish: epoch: 466 / 500, time cost: 37.59 sec, 
              Loss: [Train: p = 1.00655, q = 1.11057], 
              Loss: [Test: p = 1.02370, q = 1.27208],
              Effect: [ate-q], [train: 0.16876], [test: 0.17124]
********************************************************************************
Finish: epoch: 467 / 500, time cost: 37.33 sec, 
              Loss: [Train: p = 1.00646, q = 1.10931], 
              Loss: [Test: p = 1.02364, q = 1.27229],
              Effect: [ate-q], [train: 0.17209], [test: 0.17456]
********************************************************************************
Finish: epoch: 468 / 500, time cost: 39.90 sec, 
              Loss: [Train: p = 1.00638, q = 1.10916], 
              Loss: [Test: p = 1.02365, q = 1.27347],
              Effect: [ate-q], [train: 0.17216], [test: 0.17466]
********************************************************************************
Finish: epoch: 469 / 500, time cost: 37.86 sec, 
              Loss: [Train: p = 1.00620, q = 1.10921], 
              Loss: [Test: p = 1.02362, q = 1.27283],
              Effect: [ate-q], [train: 0.16772], [test: 0.17022]
********************************************************************************
Finish: epoch: 470 / 500, time cost: 37.97 sec, 
              Loss: [Train: p = 1.00626, q = 1.10850], 
              Loss: [Test: p = 1.02360, q = 1.27375],
              Effect: [ate-q], [train: 0.16831], [test: 0.17079]
********************************************************************************
Finish: epoch: 471 / 500, time cost: 37.87 sec, 
              Loss: [Train: p = 1.00621, q = 1.10763], 
              Loss: [Test: p = 1.02353, q = 1.27440],
              Effect: [ate-q], [train: 0.19670], [test: 0.19923]
********************************************************************************
Finish: epoch: 472 / 500, time cost: 39.87 sec, 
              Loss: [Train: p = 1.00612, q = 1.10730], 
              Loss: [Test: p = 1.02353, q = 1.27386],
              Effect: [ate-q], [train: 0.17268], [test: 0.17520]
********************************************************************************
Finish: epoch: 473 / 500, time cost: 37.58 sec, 
              Loss: [Train: p = 1.00612, q = 1.10698], 
              Loss: [Test: p = 1.02349, q = 1.27490],
              Effect: [ate-q], [train: 0.17406], [test: 0.17659]
********************************************************************************
Finish: epoch: 474 / 500, time cost: 37.52 sec, 
              Loss: [Train: p = 1.00603, q = 1.10646], 
              Loss: [Test: p = 1.02347, q = 1.27502],
              Effect: [ate-q], [train: 0.17992], [test: 0.18244]
********************************************************************************
Finish: epoch: 475 / 500, time cost: 37.95 sec, 
              Loss: [Train: p = 1.00598, q = 1.10591], 
              Loss: [Test: p = 1.02346, q = 1.27605],
              Effect: [ate-q], [train: 0.16750], [test: 0.17001]
********************************************************************************
Finish: epoch: 476 / 500, time cost: 37.57 sec, 
              Loss: [Train: p = 1.00589, q = 1.10491], 
              Loss: [Test: p = 1.02339, q = 1.27592],
              Effect: [ate-q], [train: 0.16635], [test: 0.16888]
********************************************************************************
Finish: epoch: 477 / 500, time cost: 39.68 sec, 
              Loss: [Train: p = 1.00592, q = 1.10510], 
              Loss: [Test: p = 1.02337, q = 1.27621],
              Effect: [ate-q], [train: 0.18951], [test: 0.19207]
********************************************************************************
Finish: epoch: 478 / 500, time cost: 37.84 sec, 
              Loss: [Train: p = 1.00583, q = 1.10439], 
              Loss: [Test: p = 1.02335, q = 1.27588],
              Effect: [ate-q], [train: 0.17441], [test: 0.17695]
********************************************************************************
Finish: epoch: 479 / 500, time cost: 37.50 sec, 
              Loss: [Train: p = 1.00577, q = 1.10361], 
              Loss: [Test: p = 1.02335, q = 1.27644],
              Effect: [ate-q], [train: 0.18371], [test: 0.18626]
********************************************************************************
Finish: epoch: 480 / 500, time cost: 37.82 sec, 
              Loss: [Train: p = 1.00569, q = 1.10333], 
              Loss: [Test: p = 1.02331, q = 1.27744],
              Effect: [ate-q], [train: 0.16652], [test: 0.16907]
********************************************************************************
Finish: epoch: 481 / 500, time cost: 39.51 sec, 
              Loss: [Train: p = 1.00564, q = 1.10282], 
              Loss: [Test: p = 1.02328, q = 1.27776],
              Effect: [ate-q], [train: 0.18591], [test: 0.18849]
********************************************************************************
Finish: epoch: 482 / 500, time cost: 37.68 sec, 
              Loss: [Train: p = 1.00564, q = 1.10244], 
              Loss: [Test: p = 1.02325, q = 1.27764],
              Effect: [ate-q], [train: 0.17456], [test: 0.17712]
********************************************************************************
Finish: epoch: 483 / 500, time cost: 37.80 sec, 
              Loss: [Train: p = 1.00554, q = 1.10192], 
              Loss: [Test: p = 1.02326, q = 1.27895],
              Effect: [ate-q], [train: 0.19049], [test: 0.19309]
********************************************************************************
Finish: epoch: 484 / 500, time cost: 37.79 sec, 
              Loss: [Train: p = 1.00544, q = 1.10148], 
              Loss: [Test: p = 1.02321, q = 1.27744],
              Effect: [ate-q], [train: 0.17802], [test: 0.18061]
********************************************************************************
Finish: epoch: 485 / 500, time cost: 39.75 sec, 
              Loss: [Train: p = 1.00548, q = 1.10079], 
              Loss: [Test: p = 1.02318, q = 1.27879],
              Effect: [ate-q], [train: 0.18176], [test: 0.18435]
********************************************************************************
Finish: epoch: 486 / 500, time cost: 37.68 sec, 
              Loss: [Train: p = 1.00543, q = 1.10043], 
              Loss: [Test: p = 1.02318, q = 1.27918],
              Effect: [ate-q], [train: 0.18060], [test: 0.18319]
********************************************************************************
Finish: epoch: 487 / 500, time cost: 37.97 sec, 
              Loss: [Train: p = 1.00529, q = 1.09961], 
              Loss: [Test: p = 1.02314, q = 1.27978],
              Effect: [ate-q], [train: 0.18303], [test: 0.18564]
********************************************************************************
Finish: epoch: 488 / 500, time cost: 38.02 sec, 
              Loss: [Train: p = 1.00524, q = 1.09906], 
              Loss: [Test: p = 1.02313, q = 1.27989],
              Effect: [ate-q], [train: 0.18371], [test: 0.18633]
********************************************************************************
Finish: epoch: 489 / 500, time cost: 37.99 sec, 
              Loss: [Train: p = 1.00512, q = 1.09892], 
              Loss: [Test: p = 1.02309, q = 1.28040],
              Effect: [ate-q], [train: 0.16942], [test: 0.17203]
********************************************************************************
Finish: epoch: 490 / 500, time cost: 39.57 sec, 
              Loss: [Train: p = 1.00515, q = 1.09852], 
              Loss: [Test: p = 1.02305, q = 1.28118],
              Effect: [ate-q], [train: 0.16444], [test: 0.16703]
********************************************************************************
Finish: epoch: 491 / 500, time cost: 37.50 sec, 
              Loss: [Train: p = 1.00504, q = 1.09816], 
              Loss: [Test: p = 1.02307, q = 1.28187],
              Effect: [ate-q], [train: 0.17833], [test: 0.18093]
********************************************************************************
Finish: epoch: 492 / 500, time cost: 37.68 sec, 
              Loss: [Train: p = 1.00502, q = 1.09782], 
              Loss: [Test: p = 1.02302, q = 1.28189],
              Effect: [ate-q], [train: 0.16148], [test: 0.16406]
********************************************************************************
Finish: epoch: 493 / 500, time cost: 37.89 sec, 
              Loss: [Train: p = 1.00499, q = 1.09703], 
              Loss: [Test: p = 1.02301, q = 1.28284],
              Effect: [ate-q], [train: 0.17829], [test: 0.18094]
********************************************************************************
Finish: epoch: 494 / 500, time cost: 39.58 sec, 
              Loss: [Train: p = 1.00494, q = 1.09701], 
              Loss: [Test: p = 1.02291, q = 1.28258],
              Effect: [ate-q], [train: 0.18586], [test: 0.18850]
********************************************************************************
Finish: epoch: 495 / 500, time cost: 37.35 sec, 
              Loss: [Train: p = 1.00488, q = 1.09616], 
              Loss: [Test: p = 1.02289, q = 1.28329],
              Effect: [ate-q], [train: 0.17899], [test: 0.18162]
********************************************************************************
Finish: epoch: 496 / 500, time cost: 37.68 sec, 
              Loss: [Train: p = 1.00481, q = 1.09540], 
              Loss: [Test: p = 1.02290, q = 1.28428],
              Effect: [ate-q], [train: 0.17832], [test: 0.18099]
********************************************************************************
Finish: epoch: 497 / 500, time cost: 37.63 sec, 
              Loss: [Train: p = 1.00480, q = 1.09508], 
              Loss: [Test: p = 1.02284, q = 1.28392],
              Effect: [ate-q], [train: 0.18538], [test: 0.18803]
********************************************************************************
Finish: epoch: 498 / 500, time cost: 37.99 sec, 
              Loss: [Train: p = 1.00470, q = 1.09443], 
              Loss: [Test: p = 1.02286, q = 1.28370],
              Effect: [ate-q], [train: 0.17025], [test: 0.17289]
********************************************************************************
Finish: epoch: 499 / 500, time cost: 39.79 sec, 
              Loss: [Train: p = 1.00470, q = 1.09355], 
              Loss: [Test: p = 1.02282, q = 1.28482],
              Effect: [ate-q], [train: 0.17110], [test: 0.17374]
********************************************************************************
Finish: epoch: 500 / 500, time cost: 37.82 sec, 
              Loss: [Train: p = 1.00460, q = 1.09310], 
              Loss: [Test: p = 1.02276, q = 1.28526],
              Effect: [ate-q], [train: 0.17559], [test: 0.17826]
********************************************************************************
Finish training...
